PHN_Code,PHN_Name,State,PPH_rate_per_100k,Cost_per_person
PHN101,Central and Eastern Sydney,NSW,1688.577,111.426
PHN102,Northern Sydney,NSW,1795.76,111.426
PHN103,Western Sydney,NSW,1616.84,111.426
PHN104,Nepean Blue Mountains,NSW,1695.08,111.426
PHN105,South Western Sydney,NSW,1639.889,111.426
PHN106,South Eastern NSW,NSW,1651.692,111.426
PHN107,Western NSW,NSW,1833.08,111.426
PHN108,Hunter New England and Central Coast,NSW,1701.037,111.426
PHN109,North Coast,NSW,1775.222,111.426
PHN110,Murrumbidgee,NSW,2161.56,111.426
PHN201,North Western Melbourne,VIC,1924.654,119.902
PHN202,Eastern Melbourne,VIC,1814.577,119.902
PHN203,South Eastern Melbourne,VIC,1929.852,119.902
PHN204,Gippsland,VIC,2171.28,119.902
PHN206,Western Victoria,VIC,1909.154,119.902
PHN301,Brisbane North,QLD,2314.538,124.859
PHN302,Brisbane South,QLD,2207.148,124.859
PHN303,Gold Coast,QLD,2230.0,124.859
PHN304,Darling Downs and West Moreton,QLD,2431.615,124.859
PHN305,Western Queensland,QLD,3290.25,124.859
PHN306,"Central Queensland, Wide Bay, Sunshine Coast",QLD,2187.852,124.859
PHN307,Northern Queensland,QLD,2450.63,124.859
PHN401,Adelaide,SA,1872.269,120.242
PHN402,Country SA,SA,1826.76,120.242
PHN501,Perth North,WA,1749.538,120.652
PHN502,Perth South,WA,1722.962,120.652
PHN503,Country WA,WA,2103.692,120.652
PHN601,Tasmania,TAS,1921.077,125.173
PHN701,Northern Territory,NT,4152.96,158.075
PHN801,Australian Capital Territory,ACT,1703.88,146.791
