Year,StartYear,Current ($m),Constant ($m),Nominal change (%),Real growth (%)
2008-09,2008,114401.1724,138154.0054,,
2008-10,2009,121710.4692,142859.093,6.389180013,3.405683132
2008-11,2010,131602.2955,152870.406,8.127342172,7.007823434
2008-12,2011,141957.2637,162118.4891,7.868379593,6.049622906
2008-13,2012,146953.4843,164480.6704,3.519524445,1.457070897
2008-14,2013,154671.3038,169830.9463,5.251879219,3.252829575
2008-15,2014,161619.1753,174564.6152,4.492023663,2.787282899
2008-16,2015,170529.3997,180425.0233,5.513098563,3.357156891
2008-17,2016,180879.5136,187241.4061,6.069401455,3.777958706
2008-18,2017,186362.6928,189760.7411,3.031398678,1.345500965
2008-19,2018,195665.9785,195665.9785,4.992032228,3.111938436
2008-20,2019,202546.1381,202546.1381,3.516277916,1.763023117
2008-21,2020,220893.4887,220893.4887,9.058356157,7.054651675
2008-22,2021,241315.7305,241315.7305,9.245289218,6.029044064
