year,section,metric,count,percent
2013,Age,Mean,623,
2013,Age,Median,650,
2013,Sex (%),Female,433479,37.6
2013,Sex (%),Male,718280,62.4
2013,Race (%),American-Indian/Alaskan,4639,0.4
2013,Race (%),Asian,27651,2.4
2013,Race (%),Black/African-American,252653,21.9
2013,Race (%),Hispanic/Latino,87209,7.6
2013,Race (%),Native Hawaiian/Pacific Islander,5456,0.5
2013,Race (%),White,571333,49.6
2013,Race (%),Multi-racial,2418,0.2
2013,Race (%),Unknown,200243,17.4
2013,Location of Arrest (%),Home/Residence,823491,71.5
2013,Location of Arrest (%),Nursing Home,121692,10.6
2013,Location of Arrest (%),Public Setting,206643,17.9
2013,Arrest witnessed (%),Bystander Witnessed,428910,37.2
2013,Arrest witnessed (%),Witnessed by 911 Responder,140580,12.2
2013,Arrest witnessed (%),Unwitnessed,582306,50.6
2013,Who Initiated CPR? (%),Not Applicable,629,0.1
2013,Who Initiated CPR? (%),Bystander,470010,40.8
2013,Who Initiated CPR? (%),First Responder,340888,29.6
2013,Who Initiated CPR? (%),Emergency Medical Services (EMS),339922,29.5
2013,Was an AED applied prior to EMS arrival? (%),Yes,326184,28.3
2013,Was an AED applied prior to EMS arrival? (%),No,825635,71.7
2013,Who first applied automated external defibrillator? (%),Bystander,68870,21.1
2013,Who first applied automated external defibrillator? (%),First Responder,257821,78.9
2013,Who first defibrillated the patient?* (%),Not Applicable,792527,69.8
2013,Who first defibrillated the patient?* (%),Bystander,17647,1.6
2013,Who first defibrillated the patient?* (%),First Responder,67791,6.0
2013,Who first defibrillated the patient?* (%),Responding EMS Personnel,258044,22.7
2013,First Arrest Rhythm (%),Vfib/Vtach/Unknown Shockable Rhythm,207007,18.0
2013,First Arrest Rhythm (%),Asystole,584507,50.8
2013,First Arrest Rhythm (%),Idioventricular/PEA,253079,22.0
2013,First Arrest Rhythm (%),Unknown Unshockable Rhythm,107089,9.3
2013,Sustained ROSC (%),Yes,332164,28.8
2013,Sustained ROSC (%),No,819301,71.2
2013,Was hypothermia care provided in the field? (%),Yes,52288,4.5
2013,Was hypothermia care provided in the field? (%),No,1099431,95.5
2013,Pre-hospital Outcome (%),Pronounced in the Field,451796,39.2
2013,Pre-hospital Outcome (%),Pronounced in ED,137645,11.9
2013,Pre-hospital Outcome (%),Ongoing Resuscitation in ED,562404,48.8
2013,Overall Survival (%),Overall Survival to Hospital Admission,304916,26.5
2013,Overall Survival (%),Overall Survival to Hospital Discharge,116069,10.1
2013,Overall Survival (%),With Good or Moderate Cerebral Performance,92288,8.0
2013,Overall Survival (%),Missing hospital outcome,2461,
2014,Age,Mean,629,
2014,Age,Median,65,
2014,Gender (%),Female,17696,38.9
2014,Gender (%),Male,27800,61.1
2014,Race (%),American-Indian/Alaskan,257,0.6
2014,Race (%),Asian,830,1.8
2014,Race (%),Black/African-American,9543,21.0
2014,Race (%),Hispanic/Latino,2597,5.7
2014,Race (%),Native Hawaiian/Pacific Islander,238,0.5
2014,Race (%),White,21067,46.3
2014,Race (%),Unknown,10942,24.1
2014,Location of Arrest (%),Home/Residence,31830,70.0
2014,Location of Arrest (%),Nursing Home,4805,10.6
2014,Location of Arrest (%),Public Setting,8862,19.5
2014,Arrest witnessed (%),Bystander Witnessed,17133,37.7
2014,Arrest witnessed (%),Witnessed by 911 Responder,5499,12.1
2014,Arrest witnessed (%),Unwitnessed,22864,50.3
2014,Who Initiated CPR? (%),Not Applicable,56,0.1
2014,Who Initiated CPR? (%),Bystander,18360,40.4
2014,Who Initiated CPR? (%),First Responder,12198,26.8
2014,Who Initiated CPR? (%),Emergency Medical Services (EMS),14886,32.7
2014,Was an AED applied prior to EMS arrival? (%),Yes,12316,27.1
2014,Was an AED applied prior to EMS arrival? (%),No,33183,72.9
2014,Who first applied automated external defibrillator? (%),Bystander,2238,18.2
2014,Who first applied automated external defibrillator? (%),First Responder,10070,81.7
2014,Who first defibrillated the patient?* (%),Not Applicable,28707,66.8
2014,Who first defibrillated the patient?* (%),Bystander,688,1.6
2014,Who first defibrillated the patient?* (%),First Responder,2641,6.1
2014,Who first defibrillated the patient?* (%),Responding EMS Personnel,10935,25.4
2014,First Arrest Rhythm (%),Vfib/Vtach/Unknown Shockable Rhythm,9293,20.4
2014,First Arrest Rhythm (%),Asystole,20760,45.6
2014,First Arrest Rhythm (%),Idioventricular/PEA,9740,21.4
2014,First Arrest Rhythm (%),Unknown Unshockable Rhythm,5707,12.5
2014,Sustained ROSC (%),Yes,14609,32.2
2014,Sustained ROSC (%),No,30825,67.8
2014,Was hypothermia care provided in the field? (%),Yes,5523,12.1
2014,Was hypothermia care provided in the field? (%),No,39971,87.9
2014,Pre-hospital Outcome (%),Pronounced in the Field,12593,27.7
2014,Pre-hospital Outcome (%),Pronounced in ED,7627,16.8
2014,Pre-hospital Outcome (%),Ongoing Resuscitation in ED,25281,55.6
2014,Overall Survival (%),Overall Survival to Hospital Admission,12878,28.3
2014,Overall Survival (%),Overall Survival to Hospital Discharge,4903,10.8
2014,Overall Survival (%),With Good or Moderate Cerebral Performance,3849,8.5
2014,Overall Survival (%),Missing hospital outcome,216,
2015,Age,Mean,623,
2015,Age,Median,64,
2015,Gender (%),Female,20991,39.0
2015,Gender (%),Male,32838,61.0
2015,Race (%),American-Indian/Alaskan,245,0.5
2015,Race (%),Asian,1096,2.0
2015,Race (%),Black/African-American,11284,21.0
2015,Race (%),Hispanic/Latino,3020,5.6
2015,Race (%),Native Hawaiian/Pacific Islander,257,0.5
2015,Race (%),White,25372,47.1
2015,Race (%),Unknown,12551,23.3
2015,Location of Arrest (%),Home/Residence,37474,69.6
2015,Location of Arrest (%),Nursing Home,5718,10.6
2015,Location of Arrest (%),Public Setting,10639,19.8
2015,Arrest witnessed (%),Bystander Witnessed,19839,36.9
2015,Arrest witnessed (%),Witnessed by 911 Responder,6502,12.1
2015,Arrest witnessed (%),Unwitnessed,27488,51.1
2015,Who Initiated CPR? (%),Not Applicable,39,0.1
2015,Who Initiated CPR? (%),Bystander,21848,40.6
2015,Who Initiated CPR? (%),First Responder,15197,28.2
