eInjury_01,DiagnosisCodeDescr
T14,Injury of unspecified body region
T14.8,Other injury of unspecified body region
T14.8XXA,"Other injury of unspecified body region, initial encounter"
T14.8XXD,"Other injury of unspecified body region, subsequent encounter"
T14.8XXS,"Other injury of unspecified body region, sequela"
T14.9,Unspecified injury
T14.90,"Injury, unspecified"
T14.90XA,"Injury, unspecified, initial encounter"
T14.90XD,"Injury, unspecified, subsequent encounter"
T14.90XS,"Injury, unspecified, sequela"
T14.91,Suicide attempt
T14.91XA,"Suicide attempt, initial encounter"
T15,Foreign body on external eye
T15.00,"Foreign body in cornea, unspecified eye"
T15.01,"Foreign body in cornea, right eye"
T15.12,"Foreign body in conjunctival sac, left eye"
T15.80,"Foreign body in other and multiple parts of external eye, unspecified eye"
T16,Foreign body in ear
T17.0,Foreign body in nasal sinus
T17.0XXA,"Foreign body in nasal sinus, initial encounter"
T17.200,Unspecified foreign body in pharynx causing asphyxiation
T17.3,Foreign body in larynx
T17.400A,"Unspecified foreign body in trachea causing asphyxiation, initial encounter"
T17.420,Food in trachea causing asphyxiation
T17.520,Food in bronchus causing asphyxiation
T17.8,Foreign body in other parts of respiratory tract
T17.920,"Food in respiratory tract, part unspecified causing asphyxiation"
T18,Foreign body in alimentary tract
T18.0,Foreign body in mouth
T18.1,Foreign body in esophagus
T18.10,Unspecified foreign body in esophagus
T18.12,Food in esophagus
T18.120,Food in esophagus causing compression of trachea
T18.5,Foreign body in anus and rectum
T20,"Burn and corrosion of head, face, and neck"
T20.00,"Burn of unspecified degree of head, face, and neck, unspecified site"
T20.00XA,"Burn of unspecified degree of head, face, and neck, unspecified site, initial encounter"
T20.20,"Burn of second degree of head, face, and neck, unspecified site"
T20.23,Burn of second degree of chin
T20.26,Burn of second degree of forehead and cheek
T20.37,Burn of third degree of neck
T21,Burn and corrosion of trunk
T21.11,Burn of first degree of chest wall
T21.2,Burn of second degree of trunk
T21.21,Burn of second degree of chest wall
T21.22,Burn of second degree of abdominal wall
T21.24,Burn of second degree of lower back
T21.25,Burn of second degree of buttock
T22,"Burn and corrosion of shoulder and upper limb, except wrist and hand"
T22.11,Burn of first degree of forearm
T22.122,Burn of first degree of left elbow
T22.21,Burn of second degree of forearm
T22.22,Burn of second degree of elbow
T22.23,Burn of second degree of upper arm
T22.239,Burn of second degree of unspecified upper arm
T22.249,Burn of second degree of unspecified axilla
T22.25,Burn of second degree of shoulder
T22.252,Burn of second degree of left shoulder
T23,Burn and corrosion of wrist and hand
T23.0,Burn of unspecified degree of wrist and hand
T23.05,Burn of unspecified degree of palm
T23.15,Burn of first degree of palm
T23.161,Burn of first degree of back of right hand
T23.17,Burn of first degree of wrist
T23.20,"Burn of second degree of hand, unspecified site"
T23.201,"Burn of second degree of right hand, unspecified site"
T23.202,"Burn of second degree of left hand, unspecified site"
T23.221,Burn of second degree of single right finger (nail) except thumb
T23.25,Burn of second degree of palm
T23.251,Burn of second degree of right palm
T23.26,Burn of second degree of back of hand
T23.261,Burn of second degree of back of right hand
T23.262,Burn of second degree of back of left hand
T23.291,Burn of second degree of multiple sites of right wrist and hand
T23.30,"Burn of third degree of hand, unspecified site"
T23.34,"Burn of third degree of multiple fingers (nail), including thumb"
T23.351,Burn of third degree of right palm
T23.352,Burn of third degree of left palm
T23.362,Burn of third degree of back of left hand
T23.371,Burn of third degree of right wrist
T24,"Burn and corrosion of lower limb, except ankle and foot"
T24.11,Burn of first degree of thigh
T24.13,Burn of first degree of lower leg
T24.132,Burn of first degree of left lower leg
T24.23,Burn of second degree of lower leg
T24.231,Burn of second degree of right lower leg
T25,Burn and corrosion of ankle and foot
T25.1,Burn of first degree of ankle and foot
T25.11,Burn of first degree of ankle
T25.112,Burn of first degree of left ankle
T25.121,Burn of first degree of right foot
T25.122,Burn of first degree of left foot
T25.211,Burn of second degree of right ankle
T25.22,Burn of second degree of foot
T25.221,Burn of second degree of right foot
T26.0,Burn of eyelid and periocular area
T26.40,"Burn of unspecified eye and adnexa, part unspecified"
T27,Burn and corrosion of respiratory tract
T28.0,Burn of mouth and pharynx
T28.1,Burn of esophagus
T30,"Burn and corrosion, body region unspecified"
T30.0,"Burn of unspecified body region, unspecified degree"
T30.4,"Corrosion of unspecified body region, unspecified degree"
T31,Burns classified according to extent of body surface involved
T31.0,Burns involving less than 10% of body surface
T31.1,Burns involving 10-19% of body surface
T31.2,Burns involving 20-29% of body surface
T31.3,Burns involving 30-39% of body surface
T31.8,Burns involving 80-89% of body surface
T31.9,Burns involving 90% or more of body surface
T33.02,Superficial frostbite of nose
T34,Frostbite with tissue necrosis
T34.82,Frostbite with tissue necrosis of foot
T36.0X5,Adverse effect of penicillins
T36.3X5,Adverse effect of macrolides
T36.6X,"Poisoning by, adverse effect of and underdosing of rifampicins"
T36.6X5,Adverse effect of rifampicins
T36.7X5,"Adverse effect of antifungal antibiotics, systemically used"
T36.8X5,Adverse effect of other systemic antibiotics
T36.95,Adverse effect of unspecified systemic antibiotic
T37.0X2,"Poisoning by sulfonamides, intentional self-harm"
T37.0X5,Adverse effect of sulfonamides
T37.2X6,Underdosing of antimalarials and drugs acting on other blood protozoa
T37.8X1,"Poisoning by other specified systemic anti-infectives and antiparasitics, accidental (unintentional)"
T37.8X5,Adverse effect of other specified systemic anti-infectives and antiparasitics
T37.95,Adverse effect of unspecified systemic anti-infective and antiparasitic
T38.1X4,"Poisoning by thyroid hormones and substitutes, undetermined"
T38.2X5,Adverse effect of antithyroid drugs
T38.3X5,Adverse effect of insulin and oral hypoglycemic [antidiabetic] drugs
T38.3X6,Underdosing of insulin and oral hypoglycemic [antidiabetic] drugs
T38.4X2,"Poisoning by oral contraceptives, intentional self-harm"
T38.6X5,"Adverse effect of antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified"
T38.895,Adverse effect of other hormones and synthetic substitutes
T38.994,"Poisoning by other hormone antagonists, undetermined"
T39.011,"Poisoning by aspirin, accidental (unintentional)"
T39.015,Adverse effect of aspirin
T39.094,"Poisoning by salicylates, undetermined"
T39.1X2,"Poisoning by 4-Aminophenol derivatives, intentional self-harm"
T39.2X5,Adverse effect of pyrazolone derivatives
T39.391,"Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], accidental (unintentional)"
T39.392,"Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], intentional self-harm"
T39.395,Adverse effect of other nonsteroidal anti-inflammatory drugs [NSAID]
T39.8X2,"Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm"
T39.8X5,"Adverse effect of other nonopioid analgesics and antipyretics, not elsewhere classified"
T39.94,"Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, undetermined"
T39.95,"Adverse effect of unspecified nonopioid analgesic, antipyretic and antirheumatic"
T40.0X1,"Poisoning by opium, accidental (unintentional)"
T40.0X2,"Poisoning by opium, intentional self-harm"
T40.0X5,Adverse effect of opium
T40.1,Poisoning by and adverse effect of heroin
T40.1X1,"Poisoning by heroin, accidental (unintentional)"
T40.1X4,"Poisoning by heroin, undetermined"
T40.2X,"Poisoning by, adverse effect of and underdosing of other opioids"
T40.2X4,"Poisoning by other opioids, undetermined"
T40.2X5,Adverse effect of other opioids
T40.3,"Poisoning by, adverse effect of and underdosing of methadone"
T40.3X5,Adverse effect of methadone
T40.4,"Poisoning by, adverse effect of and underdosing of other synthetic narcotics"
T40.412,"Poisoning by fentanyl or fentanyl analogs, intentional self-harm"
T40.5,"Poisoning by, adverse effect of and underdosing of cocaine"
T40.5X5,Adverse effect of cocaine
T40.6,"Poisoning by, adverse effect of and underdosing of other and unspecified narcotics"
T40.601,"Poisoning by unspecified narcotics, accidental (unintentional)"
T40.602,"Poisoning by unspecified narcotics, intentional self-harm"
T40.604,"Poisoning by unspecified narcotics, undetermined"
T40.605,Adverse effect of unspecified narcotics
T40.69,"Poisoning by, adverse effect of and underdosing of other narcotics"
T40.694,"Poisoning by other narcotics, undetermined"
T40.695,Adverse effect of other narcotics
T40.995,Adverse effect of other psychodysleptics [hallucinogens]
T41.0X1,"Poisoning by inhaled anesthetics, accidental (unintentional)"
T41.0X5,Adverse effect of inhaled anesthetics
T41.205,Adverse effect of unspecified general anesthetics
T41.3X4,"Poisoning by local anesthetics, undetermined"
T41.45,Adverse effect of unspecified anesthetic
T42.3X4,"Poisoning by barbiturates, undetermined"
T42.4X2,"Poisoning by benzodiazepines, intentional self-harm"
T42.4X2A,"Poisoning by benzodiazepines, intentional self-harm, initial encounter"
T42.4X4,"Poisoning by benzodiazepines, undetermined"
T42.4X4A,"Poisoning by benzodiazepines, undetermined, initial encounter"
T42.4X5,Adverse effect of benzodiazepines
T42.5X6,Underdosing of mixed antiepileptics
T42.6X2,"Poisoning by other antiepileptic and sedative-hypnotic drugs, intentional self-harm"
T42.6X5,Adverse effect of other antiepileptic and sedative-hypnotic drugs
T42.71,"Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, accidental (unintentional)"
T42.72,"Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, intentional self-harm"
T42.74,"Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, undetermined"
T42.8X,"Poisoning by, adverse effect of and underdosing of antiparkinsonism drugs and other central muscle-tone depressants"
T43.022,"Poisoning by tetracyclic antidepressants, intentional self-harm"
T43.201,"Poisoning by unspecified antidepressants, accidental (unintentional)"
T43.202,"Poisoning by unspecified antidepressants, intentional self-harm"
T43.212,"Poisoning by selective serotonin and norepinephrine reuptake inhibitors, intentional self-harm"
T43.215,Adverse effect of selective serotonin and norepinephrine reuptake inhibitors
T43.221,"Poisoning by selective serotonin reuptake inhibitors, accidental (unintentional)"
T43.222,"Poisoning by selective serotonin reuptake inhibitors, intentional self-harm"
T43.291,"Poisoning by other antidepressants, accidental (unintentional)"
T43.292,"Poisoning by other antidepressants, intentional self-harm"
T43.295,Adverse effect of other antidepressants
T43.505,Adverse effect of unspecified antipsychotics and neuroleptics
T43.506,Underdosing of unspecified antipsychotics and neuroleptics
T43.592,"Poisoning by other antipsychotics and neuroleptics, intentional self-harm"
T43.595,Adverse effect of other antipsychotics and neuroleptics
T43.596,Underdosing of other antipsychotics and neuroleptics
T43.625,Adverse effect of amphetamines
T43.632,"Poisoning by methylphenidate, intentional self-harm"
T43.695,Adverse effect of other psychostimulants
T43.8X,"Poisoning by, adverse effect of and underdosing of other psychotropic drugs"
T43.8X2,"Poisoning by other psychotropic drugs, intentional self-harm"
T43.8X5,Adverse effect of other psychotropic drugs
T43.94,"Poisoning by unspecified psychotropic drug, undetermined"
T43.95,Adverse effect of unspecified psychotropic drug
T44.0X1,"Poisoning by anticholinesterase agents, accidental (unintentional)"
T44.0X4,"Poisoning by anticholinesterase agents, undetermined"
T44.0X5,Adverse effect of anticholinesterase agents
T44.1X5,Adverse effect of other parasympathomimetics [cholinergics]
