eProcedures_03,ProcedureCodeDescr
102957003,Neurological finding
103579009,Race
103698003,Patient referral to non-physician provider
103715008,Removal of catheter
103720008,Elevation
103744005,Administration of intravenous fluids
103973002,"A,B blood group antibody identification"
104092009,"Hemogram, automated, with red blood cell, white blood cell, hemoglobin, hematocrit, Indices, Platelet count, and automated partial white blood cell differential"
10442004,Splint maintenance
104589004,"Chloride measurement, blood"
104598001,Chymopapain measurement
104613001,Creatine kinase MB isoenzyme measurement
104686004,"Glucose measurement, blood, test strip"
104690002,"Glucose measurement, post glucose dose"
1048003,Capillary specimen collection
104847001,Oxygen saturation measurement
105000003,Troponin measurement
105382002,Cooling the patient
105723007,Body temperature finding
105787005,"Belt/binder, device"
1058004,"Helicopter, device"
106066004,Cardiac rhythm AND/OR rate finding
106205006,Hemostasis related substance
107411000119108,Female genital mutilation type 4
10756001,Product containing haloperidol
107724000,Patient transfer
108051000119101,Mandibular laterognathia
108252007,Laboratory procedure
108283006,Ultrasound procedure on cardiovascular system
108418007,Product containing ondansetron
10849003,Removal of foreign body
108512006,Product containing ketorolac
108624006,Product containing ipratropium
109006003,Product containing tranexamic acid
10904000,Orthostatic body position
11115001,Thromboxane A>2<
11140008,"Respiratory assist, manual"
112115002,Oxytocin
112798008,Insertion of endotracheal tube
113018007,Cardioassist
113152007,Application of ice
113435002,Arthrobacter crystallopoietes
1137581004,Nose clip
1141760009,Continuous positive airway pressure bilevel positive airway pressure face mask
11429006,Consultation
1149092001,Positive pressure airway ventilation
1156871006,Wellness record
115979005,Stabilization
116154003,Patient
116328000,Physical examination maneuver related to cervical spine
116332006,Physical examination maneuver related to the spine
116762002,Administration of blood product
116795008,Transfusion of cryoprecipitate
116859006,Transfusion of blood product
116861002,Transfusion of fresh frozen plasma
116863004,Transfusion of red blood cells
116865006,Administration of albumin
116867003,Blood product unit disposition transfused
117007006,Titration method
117010004,Urine culture
118185001,Finding related to pregnancy
118216002,Labor finding
118227000,Vital signs finding
118246004,Laboratory test finding
118414001,"Pressure dressing, device"
118416004,"Wound packing material, device"
118431008,Fluid for intravenous administration
118481004,Strapping procedure
1186618000,Bilevel artificial ventilation
118669005,Procedure on respiratory system
118702008,Procedure on upper extremity
118797008,Procedure on heart
118884004,Procedure on spinal cord
118885003,Procedure on brain
119265000,Assisting
119297000,Blood specimen
119711004,Nose closure
122494005,Structure of cervical vertebral column
122545008,Stimulation procedure
122555007,Venous blood specimen
122869004,Measurement procedure
122944000,Reduction of dislocation
1230043004,Positioning of head
1230102001,Moving subject to standing position
1251443007,Construction of stoma of thorax
1254763003,Carbon dioxide sampling nasal cannula
1255879001,Administration of nitric oxide
1259025002,Heated and humidified high flow oxygen therapy using nasal cannula
1268297002,Umbilical venous catheter
127584007,Adjustment of stabilizing device
127606004,Therapeutic phlebotomy
128538000,Removal of device
1287359005,Rapid Arterial Occlusion Evaluation Scale
12891006,Application of knee immobilizer
128962004,Hemodynamic physiologic challenge
128968000,Vagal stimulation physiologic challenge
129007004,Feeding
1290630003,Immobilization of spine using spine board
129090007,Carotid sinus massage procedure phase
129112001,Aspiration of trachea
129113006,"Intra-aortic balloon pump, device"
129121000,"Tracheostomy tube, device"
129236007,Open approach - access
129265001,Evaluation - action
129326001,Injection - action
129332006,Irrigation - action
129411004,Traction - action
129415008,Extraction - action
131148009,Bleeding
13142009,Direct laryngoscopy with insertion of obturator
1333003,"Emesis basin, device"
133879001,Monitoring of patient temperature
133880003,Induction of emesis
133901003,Burn care
133905007,Delivery room care
133909001,Maintenance of device
133918004,Comfort measures
133921002,Emotional support
133936004,Adult
13569004,Transfusion of plasma
135840009,Blood pressure monitoring
135877001,Stroke risk
1366004,Inhalation therapy procedure
13855007,"Pillow, device"
14089001,Red blood cell count
14106009,"Cardiac pacemaker, device"
14152002,Intravenous infusion
14393002,Wedge pressure determination
14431003,"Electrocardiogram, single lead"
1461000205102,Digital thermometer
14734007,Administrative procedure
14766002,Aspiration
156009,"Spine board, device"
15631002,"Application of dressing, minor"
158967008,Consultant physician
159205002,Aeronautical engineer - trainee
159513002,Parking/toll fee collector
16076005,Prescription
16100001,Death diagnosis (contextual qualifier)
162498009,Symptom not changed
16254007,Lipid panel
162673000,General examination of patient
162674006,Depth of general examination
16310003,Ultrasonography
163497009,Obstetric examination
16378004,Platelet
164780005,Jugular vein catheterization
164783007,Ambulatory blood pressure recording
164931005,ST elevation
165077006,Intracardiac pressure
166312007,Blood chemistry
16650009,"Splint, device"
166888009,Blood glucose method
166900001,Glucometer blood sugar
166921001,Blood glucose within reference range
167018008,Blood gas measurement
167252002,Urine pregnancy test
168504009,Radiology in X-ray department
168759005,Abdominal obstetric X-ray
16883004,"Endotracheal intubation, emergency procedure"
169064005,Computed tomography normal
