eSituation_11,DiagnosisCodeDescr
A02,Other salmonella infections
A04.7,Enterocolitis due to Clostridium difficile
A04.71,"Enterocolitis due to Clostridium difficile, recurrent"
A04.72,"Enterocolitis due to Clostridium difficile, not specified as recurrent"
A04.9,"Bacterial intestinal infection, unspecified"
A05.0,Foodborne staphylococcal intoxication
A05.1,Botulism food poisoning
A05.8,Other specified bacterial foodborne intoxications
A05.9,"Bacterial foodborne intoxication, unspecified"
A06.1,Chronic intestinal amebiasis
A06.4,Amebic liver abscess
A06.5,Amebic lung abscess
A06.6,Amebic brain abscess
A06.82,Other amebic genitourinary infections
A08.0,Rotaviral enteritis
A08.4,"Viral intestinal infection, unspecified"
A08.8,Other specified intestinal infections
A09,"Infectious gastroenteritis and colitis, unspecified"
A15,Respiratory tuberculosis
A15.0,Tuberculosis of lung
A15.7,Primary respiratory tuberculosis
A15.9,Respiratory tuberculosis unspecified
A17.81,Tuberculoma of brain and spinal cord
A18.4,Tuberculosis of skin and subcutaneous tissue
A19.0,Acute miliary tuberculosis of a single specified site
A20.7,Septicemic plague
A23.2,Brucellosis due to Brucella suis
A31,Infection due to other mycobacteria
A35,Other tetanus
A36.81,Diphtheritic cardiomyopathy
A37.90,"Whooping cough, unspecified species without pneumonia"
A39.2,Acute meningococcemia
A39.3,Chronic meningococcemia
A39.50,"Meningococcal carditis, unspecified"
A39.51,Meningococcal endocarditis
A39.52,Meningococcal myocarditis
A39.9,"Meningococcal infection, unspecified"
A40,Streptococcal sepsis
A40.0,"Sepsis due to streptococcus, group A"
A40.3,Sepsis due to Streptococcus pneumoniae
A40.8,Other streptococcal sepsis
A40.9,"Streptococcal sepsis, unspecified"
A41,Other sepsis
A41.0,Sepsis due to Staphylococcus aureus
A41.01,Sepsis due to Methicillin susceptible Staphylococcus aureus
A41.02,Sepsis due to Methicillin resistant Staphylococcus aureus
A41.1,Sepsis due to other specified staphylococcus
A41.2,Sepsis due to unspecified staphylococcus
A41.3,Sepsis due to Hemophilus influenzae
A41.4,Sepsis due to anaerobes
A41.50,"Gram-negative sepsis, unspecified"
A41.8,Other specified sepsis
A41.81,Sepsis due to Enterococcus
A41.89,Other specified sepsis
A41.9,"Sepsis, unspecified organism"
A42.7,Actinomycotic sepsis
A42.82,Actinomycotic encephalitis
A48.0,Gas gangrene
A48.3,Toxic shock syndrome
A48.8,Other specified bacterial diseases
A49,Bacterial infection of unspecified site
A49.0,"Staphylococcal infection, unspecified site"
A49.01,"Methicillin susceptible Staphylococcus aureus infection, unspecified site"
A49.02,"Methicillin resistant Staphylococcus aureus infection, unspecified site"
A49.1,"Streptococcal infection, unspecified site"
A49.2,"Hemophilus influenzae infection, unspecified site"
A49.8,Other bacterial infections of unspecified site
A49.9,"Bacterial infection, unspecified"
A50,Congenital syphilis
A51.0,Primary genital syphilis
A52.01,Syphilitic aneurysm of aorta
A52.12,Other cerebrospinal syphilis
A52.17,General paresis
A52.19,Other symptomatic neurosyphilis
A53.9,"Syphilis, unspecified"
A54.00,"Gonococcal infection of lower genitourinary tract, unspecified"
A54.3,Gonococcal infection of eye
A54.39,Other gonococcal eye infection
A56.19,Other chlamydial genitourinary infection
A60.0,Herpesviral infection of genitalia and urogenital tract
A60.00,"Herpesviral infection of urogenital system, unspecified"
A60.01,Herpesviral infection of penis
A63.0,Anogenital (venereal) warts
A63.8,Other specified predominantly sexually transmitted diseases
A64,Unspecified sexually transmitted disease
A69.2,Lyme disease
A69.20,"Lyme disease, unspecified"
A74.9,"Chlamydial infection, unspecified"
A79.0,Trench fever
A80.9,"Acute poliomyelitis, unspecified"
A86,Unspecified viral encephalitis
A87.0,Enteroviral meningitis
A87.9,"Viral meningitis, unspecified"
A88.1,Epidemic vertigo
A88.8,Other specified viral infections of central nervous system
A89,Unspecified viral infection of central nervous system
A98.4,Ebola virus disease
B00,Herpesviral [herpes simplex] infections
B00.9,"Herpesviral infection, unspecified"
B01,Varicella [chickenpox]
B01.11,Varicella encephalitis and encephalomyelitis
B01.9,Varicella without complication
B02,Zoster [herpes zoster]
B02.33,Zoster keratitis
B02.39,Other herpes zoster eye disease
B02.8,Zoster with other complications
B02.9,Zoster without complications
B04,Monkeypox
B06.09,Other neurological complications of rubella
B07.9,"Viral wart, unspecified"
B08.09,Other orthopoxvirus infections
B08.4,Enteroviral vesicular stomatitis with exanthem
B15,Acute hepatitis A
B16.9,Acute hepatitis B without delta-agent and without hepatic coma
B17.10,Acute hepatitis C without hepatic coma
B17.8,Other specified acute viral hepatitis
B17.9,"Acute viral hepatitis, unspecified"
B18.2,Chronic viral hepatitis C
B18.8,Other chronic viral hepatitis
B19.20,Unspecified viral hepatitis C without hepatic coma
B19.9,Unspecified viral hepatitis without hepatic coma
B20,Human immunodeficiency virus [HIV] disease
B26.89,Other mumps complications
B27.89,Other infectious mononucleosis with other complication
B27.90,"Infectious mononucleosis, unspecified without complication"
B30,Viral conjunctivitis
B30.9,"Viral conjunctivitis, unspecified"
B33,"Other viral diseases, not elsewhere classified"
B33.0,Epidemic myalgia
B33.20,"Viral carditis, unspecified"
B33.21,Viral endocarditis
B33.22,Viral myocarditis
B33.23,Viral pericarditis
B33.24,Viral cardiomyopathy
B33.4,Hantavirus (cardio)-pulmonary syndrome [HPS] [HCPS]
B33.8,Other specified viral diseases
B34,Viral infection of unspecified site
B34.0,"Adenovirus infection, unspecified"
B34.1,"Enterovirus infection, unspecified"
B34.2,"Coronavirus infection, unspecified"
B34.8,Other viral infections of unspecified site
B34.9,"Viral infection, unspecified"
B35.4,Tinea corporis
B36.9,"Superficial mycosis, unspecified"
B37.0,Candidal stomatitis
B37.4,Candidiasis of other urogenital sites
B37.7,Candidal sepsis
B37.81,Candidal esophagitis
B37.83,Candidal cheilitis
B37.9,"Candidiasis, unspecified"
B42.81,Cerebral sporotrichosis
B54,Unspecified malaria
B66.8,Other specified fluke infections
B66.9,"Fluke infection, unspecified"
B67.1,Echinococcus granulosus infection of lung
B67.61,"Echinococcus multilocularis infection, multiple sites"
B67.90,"Echinococcosis, unspecified"
B67.99,Other echinococcosis
B70.0,Diphyllobothriasis
B85.0,Pediculosis due to Pediculus humanus capitis
B85.1,Pediculosis due to Pediculus humanus corporis
B86,Scabies
B88.9,"Infestation, unspecified"
B89,Unspecified parasitic disease
B95.0,"Streptococcus, group A, as the cause of diseases classified elsewhere"
B95.2,Enterococcus as the cause of diseases classified elsewhere
B95.5,Unspecified streptococcus as the cause of diseases classified elsewhere
B95.61,Methicillin susceptible Staphylococcus aureus infection as the cause of diseases classified elsewhere
B95.62,Methicillin resistant Staphylococcus aureus infection as the cause of diseases classified elsewhere
B95.7,Other staphylococcus as the cause of diseases classified elsewhere
B95.8,Unspecified staphylococcus as the cause of diseases classified elsewhere
B96.20,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere
B96.29,Other Escherichia coli [E. coli] as the cause of diseases classified elsewhere
B96.6,Bacteroides fragilis [B. fragilis] as the cause of diseases classified elsewhere
B96.7,Clostridium perfringens [C. perfringens] as the cause of diseases classified elsewhere
B96.89,Other specified bacterial agents as the cause of diseases classified elsewhere
B97.2,Coronavirus as the cause of diseases classified elsewhere
B97.21,SARS-associated coronavirus as the cause of diseases classified elsewhere
B97.29,Other coronavirus as the cause of diseases classified elsewhere
B97.4,Respiratory syncytial virus as the cause of diseases classified elsewhere
B97.81,Human metapneumovirus as the cause of diseases classified elsewhere
B97.89,Other viral agents as the cause of diseases classified elsewhere
B99,Other and unspecified infectious diseases
B99.8,Other infectious disease
B99.9,Unspecified infectious disease
C02.9,"Malignant neoplasm of tongue, unspecified"
C04.9,"Malignant neoplasm of floor of mouth, unspecified"
C06.9,"Malignant neoplasm of mouth, unspecified"
C09.9,"Malignant neoplasm of tonsil, unspecified"
C14.0,"Malignant neoplasm of pharynx, unspecified"
C14.8,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx"
C15,Malignant neoplasm of esophagus
C15.9,"Malignant neoplasm of esophagus, unspecified"
C16,Malignant neoplasm of stomach
C16.1,Malignant neoplasm of fundus of stomach
C16.9,"Malignant neoplasm of stomach, unspecified"
C17.2,Malignant neoplasm of ileum
C18.5,Malignant neoplasm of splenic flexure
C18.8,Malignant neoplasm of overlapping sites of colon
C18.9,"Malignant neoplasm of colon, unspecified"
C19,Malignant neoplasm of rectosigmoid junction
C20,Malignant neoplasm of rectum
