eSituation_12,DiagnosisCodeDescr
A04.7,Enterocolitis due to Clostridium difficile
A04.71,"Enterocolitis due to Clostridium difficile, recurrent"
A04.72,"Enterocolitis due to Clostridium difficile, not specified as recurrent"
A04.9,"Bacterial intestinal infection, unspecified"
A05.0,Foodborne staphylococcal intoxication
A05.1,Botulism food poisoning
A05.9,"Bacterial foodborne intoxication, unspecified"
A06.1,Chronic intestinal amebiasis
A06.4,Amebic liver abscess
A06.5,Amebic lung abscess
A06.82,Other amebic genitourinary infections
A08.19,Acute gastroenteropathy due to other small round viruses
A08.4,"Viral intestinal infection, unspecified"
A08.8,Other specified intestinal infections
A09,"Infectious gastroenteritis and colitis, unspecified"
A15,Respiratory tuberculosis
A15.0,Tuberculosis of lung
A15.7,Primary respiratory tuberculosis
A15.8,Other respiratory tuberculosis
A15.9,Respiratory tuberculosis unspecified
A17.81,Tuberculoma of brain and spinal cord
A17.83,Tuberculous neuritis
A18.4,Tuberculosis of skin and subcutaneous tissue
A20.7,Septicemic plague
A31,Infection due to other mycobacteria
A36.9,"Diphtheria, unspecified"
A37,Whooping cough
A37.9,"Whooping cough, unspecified species"
A37.90,"Whooping cough, unspecified species without pneumonia"
A37.91,"Whooping cough, unspecified species with pneumonia"
A39.4,"Meningococcemia, unspecified"
A39.50,"Meningococcal carditis, unspecified"
A39.9,"Meningococcal infection, unspecified"
A40.0,"Sepsis due to streptococcus, group A"
A40.3,Sepsis due to Streptococcus pneumoniae
A40.8,Other streptococcal sepsis
A40.9,"Streptococcal sepsis, unspecified"
A41,Other sepsis
A41.02,Sepsis due to Methicillin resistant Staphylococcus aureus
A41.1,Sepsis due to other specified staphylococcus
A41.2,Sepsis due to unspecified staphylococcus
A41.5,Sepsis due to other Gram-negative organisms
A41.52,Sepsis due to Pseudomonas
A41.59,Other Gram-negative sepsis
A41.8,Other specified sepsis
A41.81,Sepsis due to Enterococcus
A41.89,Other specified sepsis
A41.9,"Sepsis, unspecified organism"
A48.0,Gas gangrene
A48.3,Toxic shock syndrome
A48.8,Other specified bacterial diseases
A49,Bacterial infection of unspecified site
A49.0,"Staphylococcal infection, unspecified site"
A49.01,"Methicillin susceptible Staphylococcus aureus infection, unspecified site"
A49.02,"Methicillin resistant Staphylococcus aureus infection, unspecified site"
A49.1,"Streptococcal infection, unspecified site"
A49.8,Other bacterial infections of unspecified site
A49.9,"Bacterial infection, unspecified"
A50,Congenital syphilis
A51.0,Primary genital syphilis
A52.01,Syphilitic aneurysm of aorta
A52.12,Other cerebrospinal syphilis
A52.16,Charcôt's arthropathy (tabetic)
A53.9,"Syphilis, unspecified"
A54.00,"Gonococcal infection of lower genitourinary tract, unspecified"
A54.40,"Gonococcal infection of musculoskeletal system, unspecified"
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified"
A64,Unspecified sexually transmitted disease
A69.2,Lyme disease
A69.20,"Lyme disease, unspecified"
A69.29,Other conditions associated with Lyme disease
A74.9,"Chlamydial infection, unspecified"
A78,Q fever
A79.0,Trench fever
A80.9,"Acute poliomyelitis, unspecified"
A86,Unspecified viral encephalitis
A87,Viral meningitis
A87.8,Other viral meningitis
A87.9,"Viral meningitis, unspecified"
A88.1,Epidemic vertigo
A92.30,"West Nile virus infection, unspecified"
A92.9,"Mosquito-borne viral fever, unspecified"
A98.4,Ebola virus disease
B00,Herpesviral [herpes simplex] infections
B00.9,"Herpesviral infection, unspecified"
B01.11,Varicella encephalitis and encephalomyelitis
B01.9,Varicella without complication
B02,Zoster [herpes zoster]
B02.33,Zoster keratitis
B02.8,Zoster with other complications
B02.9,Zoster without complications
B04,Monkeypox
B08.09,Other orthopoxvirus infections
B08.4,Enteroviral vesicular stomatitis with exanthem
B15.9,Hepatitis A without hepatic coma
B16.9,Acute hepatitis B without delta-agent and without hepatic coma
B17.1,Acute hepatitis C
B17.10,Acute hepatitis C without hepatic coma
B17.11,Acute hepatitis C with hepatic coma
B17.8,Other specified acute viral hepatitis
