Period,Year,Age group,Actual Price,Inflation Adjusted Price
1984-02,1984,0-15,2.9979547773,11.266869647
1984-02,1984,65+,2.6083238316,9.8025643451
1984-02,1984,Total,3.1023685073,11.659275795
1984-02,1984,16-64,3.2049656315,12.044854802
1984-03,1984,0-15,2.9054091746,10.919066121
1984-03,1984,16-64,3.0931863357,11.624767492
1984-03,1984,Total,2.9984685337,11.268800439
1984-03,1984,65+,2.5359724676,9.5306545109
1984-04,1984,Total,3.0079585313,11.304465609
1984-04,1984,65+,2.4746101044,9.3000433781
1984-04,1984,16-64,3.106807317,11.675957664
1984-04,1984,0-15,2.9453908779,11.069324772
1984-05,1984,16-64,3.0922767465,11.621349088
1984-05,1984,65+,2.4760970881,9.3056317381
1984-05,1984,Total,2.9913975411,11.242226338
1984-05,1984,0-15,2.905012975,10.91757713
1984-06,1984,Total,2.8230839912,10.609672825
1984-06,1984,65+,2.3564409946,8.8559419635
1984-06,1984,0-15,2.7538584276,10.349510328
1984-06,1984,16-64,2.9101084762,10.936726968
1984-07,1984,65+,2.3357579201,8.7782111366
1984-07,1984,0-15,2.652009569,9.9667434424
1984-07,1984,16-64,2.8115168748,10.566201458
1984-07,1984,Total,2.728952107,10.255907759
1984-08,1984,65+,2.2997128963,8.6427472571
1984-08,1984,16-64,2.7931794599,10.497286054
1984-08,1984,Total,2.7122269665,10.193051582
1984-08,1984,0-15,2.6463644074,9.9455278787
1984-09,1984,16-64,2.8184641169,10.592310482
1984-09,1984,Total,2.7378022688,10.289168308
1984-09,1984,65+,2.2921706332,8.6144020346
1984-09,1984,0-15,2.6760855676,10.057225507
1984-10,1984,0-15,2.632060053,9.8917694642
1984-10,1984,16-64,2.8039258982,10.537673161
1984-10,1984,65+,2.2787408281,8.5639303382
1984-10,1984,Total,2.7153187065,10.204670914
1984-11,1984,Total,2.8325537966,10.645262109
1984-11,1984,65+,2.3849262654,8.9629948905
1984-11,1984,16-64,2.9183358469,10.967646951
1984-11,1984,0-15,2.7587859344,10.368028812
1984-12,1984,16-64,2.9884320573,11.231081501
1984-12,1984,0-15,2.8537730541,10.725008011
1984-12,1984,Total,2.9060031015,10.921298208
1984-12,1984,65+,2.4369202824,9.158398042
1985-01,1985,0-15,2.8528181829,10.143302783
1985-01,1985,16-64,3.0366877082,10.797057825
1985-01,1985,65+,2.4271314885,8.6297576659
1985-01,1985,Total,2.9409871539,10.45679089
1985-02,1985,16-64,3.0402999045,10.809901125
1985-02,1985,0-15,2.8542225665,10.148296123
1985-02,1985,Total,2.9448416646,10.470495748
1985-02,1985,65+,2.429164191,8.6369850164
1985-03,1985,0-15,2.9061542001,10.332941007
1985-03,1985,16-64,3.0699280453,10.915245098
1985-03,1985,Total,2.9758277147,10.580667819
1985-03,1985,65+,2.4239455533,8.6184299531
1985-04,1985,16-64,3.0998879689,11.021768738
