Period,Year,Age group,Actual Price,Inflation Adjusted Price
1984-02,1984,0-15,2.997954777,11.26686965
1984-02,1984,65+,2.608323832,9.802564345
1984-02,1984,16-64,3.204965632,12.0448548
1984-03,1984,0-15,2.905409175,10.91906612
1984-03,1984,16-64,3.093186336,11.62476749
1984-03,1984,65+,2.535972468,9.530654511
1984-04,1984,65+,2.474610104,9.300043378
1984-04,1984,16-64,3.106807317,11.67595766
1984-04,1984,0-15,2.945390878,11.06932477
1984-05,1984,16-64,3.092276747,11.62134909
1984-05,1984,65+,2.476097088,9.305631738
1984-05,1984,0-15,2.905012975,10.91757713
1984-06,1984,65+,2.356440995,8.855941964
1984-06,1984,0-15,2.753858428,10.34951033
1984-06,1984,16-64,2.910108476,10.93672697
1984-07,1984,65+,2.33575792,8.778211137
1984-07,1984,0-15,2.652009569,9.966743442
1984-07,1984,16-64,2.811516875,10.56620146
1984-08,1984,65+,2.299712896,8.642747257
1984-08,1984,16-64,2.79317946,10.49728605
1984-08,1984,0-15,2.646364407,9.945527879
1984-09,1984,16-64,2.818464117,10.59231048
1984-09,1984,65+,2.292170633,8.614402035
1984-09,1984,0-15,2.676085568,10.05722551
1984-10,1984,0-15,2.632060053,9.891769464
1984-10,1984,16-64,2.803925898,10.53767316
1984-10,1984,65+,2.278740828,8.563930338
1984-11,1984,65+,2.384926265,8.962994891
1984-11,1984,16-64,2.918335847,10.96764695
1984-11,1984,0-15,2.758785934,10.36802881
1984-12,1984,16-64,2.988432057,11.2310815
1984-12,1984,0-15,2.853773054,10.72500801
1984-12,1984,65+,2.436920282,9.158398042
1985-01,1985,0-15,2.852818183,10.14330278
1985-01,1985,16-64,3.036687708,10.79705783
1985-01,1985,65+,2.427131489,8.629757666
1985-02,1985,16-64,3.040299905,10.80990113
1985-02,1985,0-15,2.854222567,10.14829612
1985-02,1985,65+,2.429164191,8.636985016
1985-03,1985,0-15,2.9061542,10.33294101
1985-03,1985,16-64,3.069928045,10.9152451
1985-03,1985,65+,2.423945553,8.618429953
1985-04,1985,16-64,3.099887969,11.02176874
1985-04,1985,0-15,2.928752827,10.41329128
1985-04,1985,65+,2.438189104,8.669073436
1985-05,1985,0-15,2.926583226,10.40557718
1985-05,1985,65+,2.461670565,8.752562658
1985-05,1985,16-64,3.10281704,11.03218316
1985-06,1985,65+,2.545488367,9.050580015
1985-06,1985,16-64,3.153576825,11.21266149
1985-06,1985,0-15,2.986936641,10.62016603
1985-07,1985,0-15,3.020022218,10.73780304
1985-07,1985,16-64,3.235985895,11.50567006
1985-07,1985,65+,2.658049568,9.450795617
1985-08,1985,65+,2.664244814,9.47282305
1985-08,1985,16-64,3.261983826,11.59810668
1985-08,1985,0-15,3.050947204,10.847758
1985-09,1985,65+,2.707141386,9.625343431
1985-09,1985,0-15,3.087767528,10.97867405
1985-09,1985,16-64,3.276634293,11.65019697
1985-10,1985,16-64,3.280686765,11.66460568
1985-10,1985,0-15,3.053829254,10.85800524
1985-10,1985,65+,2.6911153,9.568362078
1985-11,1985,0-15,3.180470771,11.30828393
1985-11,1985,65+,2.76111583,9.817251606
1985-11,1985,16-64,3.391820869,12.05974719
1985-12,1985,0-15,3.27151885,11.63200882
1985-12,1985,65+,2.814970353,10.00873339
1985-12,1985,16-64,3.45692103,12.29121327
1986-01,1986,65+,2.905338398,9.696568175
1986-01,1986,16-64,3.567408348,11.90622693
1986-01,1986,0-15,3.305938011,11.03356956
1986-02,1986,16-64,3.589061026,11.97849275
1986-02,1986,0-15,3.34328448,11.15821342
1986-02,1986,65+,2.926819152,9.768260202
1986-03,1986,65+,2.944365878,9.826822407
1986-03,1986,16-64,3.653980257,12.19516071
1986-03,1986,0-15,3.432791381,11.45694274
1986-04,1986,0-15,3.402077091,11.35443378
1986-04,1986,16-64,3.631875508,12.1213861
1986-04,1986,65+,2.929642111,9.777681828
1986-05,1986,65+,3.109076096,10.37654283
1986-05,1986,0-15,3.613216209,12.05911068
1986-05,1986,16-64,3.822892355,12.75890491
1986-06,1986,0-15,3.671846296,12.25478862
1986-06,1986,65+,3.208833506,10.70948323
1986-06,1986,16-64,3.90578238,13.03555041
1986-07,1986,65+,3.318081837,11.07409959
1986-07,1986,16-64,3.994822935,13.3327233
1986-07,1986,0-15,3.701774516,12.35467407
1986-08,1986,65+,3.359076193,11.21091827
1986-08,1986,16-64,4.101050608,13.6872582
1986-08,1986,0-15,3.85562909,12.86816378
1986-09,1986,65+,3.356375972,11.20190628
1986-09,1986,16-64,4.117986893,13.74378306
1986-09,1986,0-15,3.855595098,12.86805033
1986-10,1986,16-64,4.126853547,13.77337552
1986-10,1986,0-15,3.833653021,12.79481864
1986-10,1986,65+,3.344200606,11.16127099
1986-11,1986,65+,3.141840274,10.48589329
1986-11,1986,0-15,3.605033791,12.03180186
1986-11,1986,16-64,3.876839821,12.9389546
1986-12,1986,65+,3.188356434,10.641141
1986-12,1986,16-64,3.908498613,13.04461583
1986-12,1986,0-15,3.665654132,12.23412227
1987-01,1987,65+,3.219413918,9.854720231
1987-01,1987,16-64,3.968739496,12.14842776
1987-01,1987,0-15,3.67695518,11.25526743
1987-02,1987,65+,3.185944966,9.75227079
1987-02,1987,0-15,3.659183449,11.20086764
1987-02,1987,16-64,3.96642801,12.14135223
1987-03,1987,0-15,3.7060304,11.34426753
1987-03,1987,16-64,3.989391913,12.21164541
1987-03,1987,65+,3.207892332,9.81945232
1987-04,1987,65+,3.202695165,9.803543639
1987-04,1987,16-64,4.01188606,12.28050065
1987-04,1987,0-15,3.753017648,11.48809687
1987-05,1987,0-15,3.756751236,11.49952549
1987-05,1987,16-64,4.05503815,12.41259046
1987-05,1987,65+,3.267753592,10.00268939
1987-06,1987,65+,3.305795538,10.1191369
1987-06,1987,16-64,4.065103362,12.44340037
1987-06,1987,0-15,3.775006539,11.55540551
1987-07,1987,65+,3.469750446,10.62100767
1987-07,1987,16-64,4.14319116,12.68242941
1987-07,1987,0-15,3.817917148,11.68675614
1987-08,1987,0-15,4.071070355,12.46166551
1987-08,1987,16-64,4.25918333,13.03748484
1987-08,1987,65+,3.462988583,10.60030941
1987-09,1987,65+,3.466127389,10.60991739
1987-09,1987,0-15,4.052904367,12.40605889
1987-09,1987,16-64,4.274834009,13.08539202
1987-10,1987,65+,3.466518568,10.6111148
1987-10,1987,16-64,4.305260651,13.17852886
1987-10,1987,0-15,4.083882936,12.5008852
1987-11,1987,65+,3.652782355,11.1812737
1987-11,1987,16-64,4.562285571,13.96528967
1987-11,1987,0-15,4.343870124,13.29671359
1987-12,1987,0-15,4.447480575,13.61386821
1987-12,1987,16-64,4.62040224,14.14318649
1987-12,1987,65+,3.674856916,11.24884458
1988-01,1988,65+,3.773971262,11.02915548
1988-01,1988,16-64,4.784023754,13.98096015
1988-01,1988,0-15,4.615244814,13.48771602
1988-02,1988,0-15,4.390179505,12.82997909
1988-02,1988,16-64,4.685339081,13.6925614
1988-02,1988,65+,3.767065827,11.00897486
1988-03,1988,0-15,4.452117711,13.01098897
1988-03,1988,16-64,4.711229718,13.7682249
1988-03,1988,65+,3.672918978,10.73383756
1988-04,1988,16-64,4.838575018,14.14038224
1988-04,1988,65+,3.767728752,11.0109122
1988-04,1988,0-15,4.649325384,13.587314
