,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Health Expenditure Australia 2022–23 - Datacube,,,,,,,,,
,,,,,,,,,
Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($),Current per person ($),Constant per person ($)
2012-13,ACT,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"25,74,394","25,13,291",7,7
2012-13,ACT,Capital expenditure,Capital expenditure,Non-government,Other sources of fund,"2,47,07,651","2,94,60,870",65,78
2012-13,ACT,Capital expenditure,Capital expenditure,State and local government,State and local government,"14,60,00,000","17,12,40,074",384,451
2012-13,ACT,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"-1,15,03,725","-1,41,63,788",-30,-37
2012-13,ACT,Hospitals,Private hospitals,Australian Government,DoHAC and other,"17,38,691","21,40,738",5,6
2012-13,ACT,Hospitals,Private hospitals,Australian Government,Premium rebates,"3,20,07,871","3,94,09,208",84,104
2012-13,ACT,Hospitals,Private hospitals,Non-government,Health Insurance Funds,"7,37,23,874","9,07,71,407",194,239
2012-13,ACT,Hospitals,Private hospitals,Non-government,Individuals,"5,87,16,806","7,22,94,181",155,190
2012-13,ACT,Hospitals,Private hospitals,Non-government,Other sources of fund,"92,18,231","1,13,49,808",24,30
2012-13,ACT,Hospitals,Private hospitals,State and local government,State and local government,"33,19,000","40,86,469",9,11
2012-13,ACT,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"1,91,07,220","2,35,25,476",50,62
2012-13,ACT,Hospitals,Public hospital services,Australian Government,DoHAC and other,"28,25,50,547","34,78,86,096",744,916
2012-13,ACT,Hospitals,Public hospital services,Australian Government,Premium rebates,"37,46,061","46,12,281",10,12
2012-13,ACT,Hospitals,Public hospital services,Non-government,Health Insurance Funds,"86,28,318","1,06,23,487",23,28
2012-13,ACT,Hospitals,Public hospital services,Non-government,Individuals,"19,11,401","23,53,384",5,6
2012-13,ACT,Hospitals,Public hospital services,Non-government,Other sources of fund,"96,54,656","1,18,87,149",25,31
2012-13,ACT,Hospitals,Public hospital services,State and local government,State and local government,"61,01,82,417","75,12,77,891","1,607","1,978"
2012-13,ACT,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"1,27,68,000","1,58,74,292",34,42
2012-13,ACT,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-1,27,68,000","-1,58,74,292",-34,-42
2012-13,ACT,Other services,Administration,Australian Government,Department of Veterans' Affairs,"4,06,03,448","5,04,81,751",107,133
2012-13,ACT,Other services,Administration,Australian Government,DoHAC and other,"1,49,81,166","1,86,25,893",39,49
2012-13,ACT,Other services,Administration,Australian Government,Premium rebates,"63,72,986","79,23,453",17,21
2012-13,ACT,Other services,Administration,Non-government,Health Insurance Funds,"1,46,79,043","1,82,50,268",39,48
2012-13,ACT,Other services,Administration,State and local government,State and local government,"7,54,000","9,37,439",2,2
2012-13,ACT,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,0,0,0,0
2012-13,ACT,Other services,Aids and appliances,Australian Government,DoHAC and other,"65,57,570","76,88,424",17,20
2012-13,ACT,Other services,Aids and appliances,Australian Government,Premium rebates,"37,35,624","43,79,832",10,12
2012-13,ACT,Other services,Aids and appliances,Non-government,Health Insurance Funds,"86,04,347","1,00,88,167",23,27
2012-13,ACT,Other services,Aids and appliances,Non-government,Individuals,"2,27,02,551","2,66,17,609",60,70
2012-13,ACT,Other services,Aids and appliances,Non-government,Other sources of fund,"9,58,288","11,23,545",3,3
2012-13,ACT,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"2,23,000","2,74,565",1,1
2012-13,ACT,Other services,Patient transport services,Australian Government,DoHAC and other,0,0,0,0
2012-13,ACT,Other services,Patient transport services,Australian Government,Premium rebates,"60,94,128","75,03,303",16,20
2012-13,ACT,Other services,Patient transport services,Non-government,Health Insurance Funds,"1,40,36,742","1,72,82,526",37,46
2012-13,ACT,Other services,Patient transport services,Non-government,Individuals,"6,390","7,868",0,0
2012-13,ACT,Other services,Patient transport services,Non-government,Other sources of fund,"12,40,828","15,27,751",3,4
2012-13,ACT,Other services,Patient transport services,State and local government,State and local government,"1,82,30,328","2,24,45,816",48,59
2012-13,ACT,Primary health care,All other medications,Australian Government,DoHAC and other,"55,85,513","61,66,961",15,16
2012-13,ACT,Primary health care,All other medications,Australian Government,Premium rebates,"4,39,951","4,85,750",1,1
2012-13,ACT,Primary health care,All other medications,Non-government,Health Insurance Funds,"10,13,349","11,18,838",3,3
2012-13,ACT,Primary health care,All other medications,Non-government,Individuals,"8,56,13,728","9,45,26,057",225,249
2012-13,ACT,Primary health care,All other medications,Non-government,Other sources of fund,"15,44,920","17,05,745",4,4
2012-13,ACT,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"77,13,480","1,05,76,282",20,28
2012-13,ACT,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"9,72,10,547","13,32,89,546",256,351
2012-13,ACT,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"2,37,34,915","3,25,43,958",62,86
2012-13,ACT,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,"4,76,522","5,92,454",1,2
2012-13,ACT,Primary health care,Community health and other,Australian Government,DoHAC and other,"1,47,33,663","1,83,18,176",39,48
