Code,Name,Period,GeographicAreaName,Value,UnitType,State,Year
3.4.1,Infant and young child mortality rate,2008,Australian Capital Territory,6.5,DecimalOne,ACT,2008
3.4.1,Infant and young child mortality rate,2008,Australian Capital Territory,3.4,DecimalOne,ACT,2008
3.4.1,Infant and young child mortality rate,2008,Australian Capital Territory,5.0,DecimalOne,ACT,2008
3.4.1,Infant and young child mortality rate,2008,Australian Capital Territory,16.0,DecimalZero,ACT,2008
3.4.1,Infant and young child mortality rate,2008,Australian Capital Territory,8.0,DecimalZero,ACT,2008
3.4.1,Infant and young child mortality rate,2008,Australian Capital Territory,24.0,DecimalZero,ACT,2008
3.4.1,Infant and young child mortality rate,2008,Australian Capital Territory,2471.0,DecimalZero,ACT,2008
3.4.1,Infant and young child mortality rate,2008,Australian Capital Territory,2337.0,DecimalZero,ACT,2008
3.4.1,Infant and young child mortality rate,2008,Australian Capital Territory,4808.0,DecimalZero,ACT,2008
3.4.1,Infant and young child mortality rate,2008,Australian Capital Territory,148.0,DecimalOne,ACT,2008
3.4.1,Infant and young child mortality rate,2008,Australian Capital Territory,110.6,DecimalOne,ACT,2008
3.4.1,Infant and young child mortality rate,2008,Australian Capital Territory,129.8,DecimalOne,ACT,2008
3.4.1,Infant and young child mortality rate,2008,Australian Capital Territory,17.0,DecimalZero,ACT,2008
3.4.1,Infant and young child mortality rate,2008,Australian Capital Territory,12.0,DecimalZero,ACT,2008
3.4.1,Infant and young child mortality rate,2008,Australian Capital Territory,29.0,DecimalZero,ACT,2008
3.4.1,Infant and young child mortality rate,2008,Australian Capital Territory,11486.0,DecimalZero,ACT,2008
3.4.1,Infant and young child mortality rate,2008,Australian Capital Territory,10852.0,DecimalZero,ACT,2008
3.4.1,Infant and young child mortality rate,2008,Australian Capital Territory,22338.0,DecimalZero,ACT,2008
3.4.1,Infant and young child mortality rate,2008,New South Wales,4.7,DecimalOne,NSW,2008
3.4.1,Infant and young child mortality rate,2008,New South Wales,3.5,DecimalOne,NSW,2008
3.4.1,Infant and young child mortality rate,2008,New South Wales,4.1,DecimalOne,NSW,2008
3.4.1,Infant and young child mortality rate,2008,New South Wales,241.0,DecimalZero,NSW,2008
3.4.1,Infant and young child mortality rate,2008,New South Wales,171.0,DecimalZero,NSW,2008
3.4.1,Infant and young child mortality rate,2008,New South Wales,412.0,DecimalZero,NSW,2008
3.4.1,Infant and young child mortality rate,2008,New South Wales,51205.0,DecimalZero,NSW,2008
3.4.1,Infant and young child mortality rate,2008,New South Wales,49071.0,DecimalZero,NSW,2008
3.4.1,Infant and young child mortality rate,2008,New South Wales,100276.0,DecimalZero,NSW,2008
