Condition,State,PPH_per_1000,Year,Jurisdiction,Sector,Cost_per_person,Cost_per_PPH
Pneumonia and vaccine-preventable influenza,NSW,0.9,2022-23,NSW,Hospitals,18.0,20000.0
Pneumonia and vaccine-preventable influenza,NSW,0.9,2022-23,NSW,Hospitals,119.0,132222.22222222222
Pneumonia and vaccine-preventable influenza,NSW,0.9,2022-23,NSW,Hospitals,121.0,134444.44444444444
Pneumonia and vaccine-preventable influenza,NSW,0.9,2022-23,NSW,Hospitals,360.0,400000.0
Pneumonia and vaccine-preventable influenza,NSW,0.9,2022-23,NSW,Hospitals,74.0,82222.22222222222
Pneumonia and vaccine-preventable influenza,NSW,0.9,2022-23,NSW,Hospitals,51.0,56666.666666666664
Pneumonia and vaccine-preventable influenza,NSW,0.9,2022-23,NSW,Hospitals,0.0,0.0
Pneumonia and vaccine-preventable influenza,NSW,0.9,2022-23,NSW,Hospitals,13.0,14444.444444444443
Pneumonia and vaccine-preventable influenza,NSW,0.9,2022-23,NSW,Hospitals,1118.0,1242222.2222222222
Pneumonia and vaccine-preventable influenza,NSW,0.9,2022-23,NSW,Hospitals,18.0,20000.0
Pneumonia and vaccine-preventable influenza,NSW,0.9,2022-23,NSW,Hospitals,53.0,58888.88888888889
Pneumonia and vaccine-preventable influenza,NSW,0.9,2022-23,NSW,Hospitals,4.0,4444.444444444444
Pneumonia and vaccine-preventable influenza,NSW,0.9,2022-23,NSW,Hospitals,65.0,72222.22222222222
Pneumonia and vaccine-preventable influenza,NSW,0.9,2022-23,NSW,Hospitals,1607.0,1785555.5555555555
Other vaccine-preventable conditions,NSW,0.8,2022-23,NSW,Hospitals,18.0,22500.0
Other vaccine-preventable conditions,NSW,0.8,2022-23,NSW,Hospitals,119.0,148750.0
Other vaccine-preventable conditions,NSW,0.8,2022-23,NSW,Hospitals,121.0,151250.0
Other vaccine-preventable conditions,NSW,0.8,2022-23,NSW,Hospitals,360.0,450000.0
Other vaccine-preventable conditions,NSW,0.8,2022-23,NSW,Hospitals,74.0,92500.0
Other vaccine-preventable conditions,NSW,0.8,2022-23,NSW,Hospitals,51.0,63750.0
Other vaccine-preventable conditions,NSW,0.8,2022-23,NSW,Hospitals,0.0,0.0
Other vaccine-preventable conditions,NSW,0.8,2022-23,NSW,Hospitals,13.0,16250.0
Other vaccine-preventable conditions,NSW,0.8,2022-23,NSW,Hospitals,1118.0,1397500.0
Other vaccine-preventable conditions,NSW,0.8,2022-23,NSW,Hospitals,18.0,22500.0
Other vaccine-preventable conditions,NSW,0.8,2022-23,NSW,Hospitals,53.0,66250.0
Other vaccine-preventable conditions,NSW,0.8,2022-23,NSW,Hospitals,4.0,5000.0
Other vaccine-preventable conditions,NSW,0.8,2022-23,NSW,Hospitals,65.0,81250.0
Other vaccine-preventable conditions,NSW,0.8,2022-23,NSW,Hospitals,1607.0,2008750.0
Total vaccine-preventable conditions(c),NSW,1.7,2022-23,NSW,Hospitals,18.0,10588.235294117647
Total vaccine-preventable conditions(c),NSW,1.7,2022-23,NSW,Hospitals,119.0,70000.0
Total vaccine-preventable conditions(c),NSW,1.7,2022-23,NSW,Hospitals,121.0,71176.4705882353
Total vaccine-preventable conditions(c),NSW,1.7,2022-23,NSW,Hospitals,360.0,211764.70588235295
Total vaccine-preventable conditions(c),NSW,1.7,2022-23,NSW,Hospitals,74.0,43529.41176470588
Total vaccine-preventable conditions(c),NSW,1.7,2022-23,NSW,Hospitals,51.0,30000.0
Total vaccine-preventable conditions(c),NSW,1.7,2022-23,NSW,Hospitals,0.0,0.0
Total vaccine-preventable conditions(c),NSW,1.7,2022-23,NSW,Hospitals,13.0,7647.058823529412
Total vaccine-preventable conditions(c),NSW,1.7,2022-23,NSW,Hospitals,1118.0,657647.0588235294
Total vaccine-preventable conditions(c),NSW,1.7,2022-23,NSW,Hospitals,18.0,10588.235294117647
Total vaccine-preventable conditions(c),NSW,1.7,2022-23,NSW,Hospitals,53.0,31176.470588235294
Total vaccine-preventable conditions(c),NSW,1.7,2022-23,NSW,Hospitals,4.0,2352.9411764705883
Total vaccine-preventable conditions(c),NSW,1.7,2022-23,NSW,Hospitals,65.0,38235.29411764706
Total vaccine-preventable conditions(c),NSW,1.7,2022-23,NSW,Hospitals,1607.0,945294.1176470588
Pneumonia (not vaccine-preventable),NSW,0.0,2022-23,NSW,Hospitals,18.0,inf
Pneumonia (not vaccine-preventable),NSW,0.0,2022-23,NSW,Hospitals,119.0,inf
Pneumonia (not vaccine-preventable),NSW,0.0,2022-23,NSW,Hospitals,121.0,inf
Pneumonia (not vaccine-preventable),NSW,0.0,2022-23,NSW,Hospitals,360.0,inf
