,precision,recall,f1-score,support
0,0.9411764705882353,0.9411764705882353,0.9411764705882353,221.0
1,0.8439024390243902,0.8963730569948186,0.8693467336683417,193.0
2,0.9148936170212766,0.9148936170212766,0.9148936170212766,94.0
3,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0
5,0.6065573770491803,0.578125,0.592,64.0
6,0.7741935483870968,0.6857142857142857,0.7272727272727273,70.0
accuracy,0.8584758942457231,0.8584758942457231,0.8584758942457231,0.8584758942457231
macro avg,0.5829604931528828,0.5737546329026594,0.577812792650083,643.0
weighted avg,0.8551887888801737,0.8584758942457231,0.8562690676626451,643.0
